amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.755,AUC:0.984,Acc:0.988,0.7569
1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.752,AUC:0.986,Acc:0.987,0.7553
1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.754,AUC:0.979,Acc:0.988,0.7545
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 40}",f1:0.752,AUC:0.976,Acc:0.987,0.7543
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.754,AUC:0.973,Acc:0.988,0.7543
1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.742,AUC:0.983,Acc:0.986,0.7482
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",f1:0.748,AUC:0.97,Acc:0.987,0.7478
1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 60}",f1:0.743,AUC:0.984,Acc:0.987,0.7454
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.743,AUC:0.978,Acc:0.987,0.7451
1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.741,AUC:0.986,Acc:0.987,0.7431
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.741,AUC:0.971,Acc:0.987,0.7425
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",f1:0.742,AUC:0.969,Acc:0.987,0.742
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.74,AUC:0.972,Acc:0.987,0.7401
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 40}",f1:0.737,AUC:0.976,Acc:0.986,0.737
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.729,AUC:0.978,Acc:0.986,0.7352
1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.72,AUC:0.971,Acc:0.986,0.7272
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 50}",f1:0.726,AUC:0.982,Acc:0.986,0.7258
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 60}",f1:0.723,AUC:0.98,Acc:0.986,0.7237
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.715,AUC:0.975,Acc:0.986,0.7178
1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.708,AUC:0.976,Acc:0.985,0.709
1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.708,AUC:0.984,Acc:0.986,0.7083
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.688,AUC:0.973,Acc:0.984,0.7057
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.699,AUC:0.973,Acc:0.985,0.7016
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.697,AUC:0.971,Acc:0.984,0.6996
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.681,AUC:0.98,Acc:0.985,0.6991
1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",f1:0.692,AUC:0.977,Acc:0.984,0.6945
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.689,AUC:0.975,Acc:0.985,0.6921
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.684,AUC:0.971,Acc:0.984,0.6917
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.66,AUC:0.968,Acc:0.983,0.6662
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.661,AUC:0.983,Acc:0.984,0.6662
1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.664,AUC:0.979,Acc:0.984,0.6641
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.63,AUC:0.968,Acc:0.982,0.6299
0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",f1:0.306,AUC:0.858,Acc:0.976,0.3064
0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 60}",f1:0.24,AUC:0.861,Acc:0.973,0.2625
0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.221,AUC:0.87,Acc:0.973,0.2462
0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.211,AUC:0.807,Acc:0.974,0.2422
0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.225,AUC:0.816,Acc:0.974,0.2257
0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.214,AUC:0.787,Acc:0.974,0.2185
0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.21,AUC:0.755,Acc:0.974,0.2172
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.205,AUC:0.691,Acc:0.974,0.2047
0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.183,AUC:0.696,Acc:0.973,0.1844
0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,"{'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 60}",f1:0.141,AUC:0.837,Acc:0.973,0.1651
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,"{'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 40}",f1:0.11,AUC:0.827,Acc:0.97,0.1455
0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.145,AUC:0.852,Acc:0.972,0.1451
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,"{'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 60}",f1:0.135,AUC:0.76,Acc:0.972,0.1411
0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 40}",f1:0.119,AUC:0.663,Acc:0.972,0.1202
0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.106,AUC:0.738,Acc:0.972,0.12
0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.104,AUC:0.768,Acc:0.972,0.1162
0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.103,AUC:0.75,Acc:0.972,0.1156
0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.105,AUC:0.719,Acc:0.972,0.1117
0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.085,AUC:0.739,Acc:0.972,0.0967
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 40}",f1:0.092,AUC:0.798,Acc:0.972,0.0965
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.085,AUC:0.714,Acc:0.971,0.0848
0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",f1:0.084,AUC:0.773,Acc:0.971,0.0836
0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,"{'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 60}",f1:0.082,AUC:0.801,Acc:0.972,0.0825
