amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.806,AUC:0.954,Acc:0.989,0.8193
1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 9}",f1:0.812,AUC:0.935,Acc:0.99,0.8191
1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 9}",f1:0.817,AUC:0.951,Acc:0.99,0.8179
1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.81,AUC:0.953,Acc:0.989,0.8176
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.806,AUC:0.946,Acc:0.989,0.8167
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.81,AUC:0.971,Acc:0.989,0.8165
1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.791,AUC:0.949,Acc:0.988,0.813
1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.794,AUC:0.94,Acc:0.988,0.8114
1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.808,AUC:0.956,Acc:0.989,0.8112
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 9}",f1:0.788,AUC:0.973,Acc:0.987,0.8103
1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 9}",f1:0.778,AUC:0.977,Acc:0.986,0.81
1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.799,AUC:0.949,Acc:0.989,0.8083
1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 10}",f1:0.774,AUC:0.975,Acc:0.985,0.8077
1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,"{'class_weight': {0: 1, 1: 2}, 'max_depth': 8}",f1:0.804,AUC:0.937,Acc:0.989,0.807
