amt,gender,lat,long,byear,A,B,C,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,April,Aug,Dec,Feb,Jan,July,June,Nov,Oct,Sept,AK,RI,31,32,21,22,01,02,11,12,Hyper Parameters,F1,AUC,Accuracy,Best Score
1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.636,AUC:0.87,Acc:0.981,0.6412
1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.541,AUC:0.918,Acc:0.979,0.6406
1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.632,AUC:0.921,Acc:0.982,0.6403
1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 3}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.615,AUC:0.924,Acc:0.982,0.6377
1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.634,AUC:0.91,Acc:0.98,0.635
1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.535,AUC:0.918,Acc:0.979,0.6339
1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.621,AUC:0.935,Acc:0.979,0.6308
1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.618,AUC:0.91,Acc:0.979,0.6279
1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 4}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.543,AUC:0.914,Acc:0.979,0.6263
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,"{'C': 0.1, 'class_weight': {0: 1, 1: 5}, 'max_iter': 1000, 'penalty': 'l2'}",f1:0.533,AUC:0.867,Acc:0.979,0.6238
